,Classifier,Parameters,Train accuracy,Test accuracy,Train top 5 accuracy,Test top 5 accuracy,Train computation time,Test computation time,Experiment
0,Baseline,"DummyClassifier(random_state=1, strategy='stratified')",0.01045751633986928,0.016901408450704224,0.05725490196078432,0.061971830985915494,1.5583360195159912,0.001432180404663086,RGB of the non-background K-means cluster centre
1,Logistic Regression,"LogisticRegression(C=10, random_state=1)",0.35320261437908496,0.3492957746478873,0.7613071895424837,0.7380281690140845,1.786695957183838,0.00049591064453125,RGB of the non-background K-means cluster centre
2,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(shrinkage=0, solver='lsqr')",0.39137254901960783,0.3971830985915493,0.8099346405228758,0.7915492957746478,0.15564298629760742,0.00043320655822753906,RGB of the non-background K-means cluster centre
3,K-Nearest Neighbour,KNeighborsClassifier(n_neighbors=9),0.5890196078431372,0.38028169014084506,0.9840522875816994,0.7352112676056338,0.13770413398742676,0.010103940963745117,RGB of the non-background K-means cluster centre
4,Decision Tree,"DecisionTreeClassifier(max_depth=10, max_features=3, min_samples_leaf=9,
                       random_state=1)",0.5061437908496732,0.3352112676056338,0.9108496732026143,0.6056338028169014,0.566784143447876,0.00016307830810546875,RGB of the non-background K-means cluster centre
5,Random Forest,"RandomForestClassifier(max_depth=9, min_samples_leaf=3, random_state=1)",0.7158169934640523,0.37464788732394366,0.97359477124183,0.7915492957746478,8.868436813354492,0.019885778427124023,RGB of the non-background K-means cluster centre
6,Naive Bayes,GaussianNB(),0.2899346405228758,0.27887323943661974,0.6658823529411765,0.6253521126760564,0.04248499870300293,0.003931760787963867,RGB of the non-background K-means cluster centre
7,Support Vector Machine,"OneVsRestClassifier(estimator=SVC(C=100, gamma=0.1, probability=True,
                                  random_state=1))",0.39398692810457514,0.39154929577464787,0.7409150326797386,0.6985915492957746,149.55816197395325,0.6229403018951416,RGB of the non-background K-means cluster centre
0,Baseline,"DummyClassifier(random_state=1, strategy='stratified')",0.01045751633986928,0.016901408450704224,0.05725490196078432,0.061971830985915494,0.04377484321594238,0.0011479854583740234,HSV of the non-background K-means cluster centre
1,Logistic Regression,"LogisticRegression(C=10, random_state=1)",0.2847058823529412,0.23661971830985915,0.6609150326797386,0.6309859154929578,1.5386888980865479,0.0004780292510986328,HSV of the non-background K-means cluster centre
2,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(shrinkage=0, solver='lsqr')",0.2928104575163399,0.2704225352112676,0.6674509803921569,0.6281690140845071,0.13827919960021973,0.000263214111328125,HSV of the non-background K-means cluster centre
3,K-Nearest Neighbour,KNeighborsClassifier(n_neighbors=9),0.5526797385620915,0.352112676056338,0.9788235294117648,0.7154929577464789,0.09902119636535645,0.008907079696655273,HSV of the non-background K-means cluster centre
4,Decision Tree,"DecisionTreeClassifier(max_depth=10, max_features=3, min_samples_leaf=9,
                       random_state=1)",0.49699346405228756,0.3211267605633803,0.883921568627451,0.6281690140845071,0.5737571716308594,0.0002560615539550781,HSV of the non-background K-means cluster centre
5,Random Forest,"RandomForestClassifier(max_depth=9, min_samples_leaf=3, random_state=1)",0.6666666666666666,0.38873239436619716,0.961045751633987,0.7746478873239436,8.763688087463379,0.020041942596435547,HSV of the non-background K-means cluster centre
6,Naive Bayes,GaussianNB(),0.403921568627451,0.3380281690140845,0.8013071895424837,0.780281690140845,0.050492048263549805,0.004228115081787109,HSV of the non-background K-means cluster centre
